domain,guideline,vignette,item_author_notes,validator_guideline,validator_notes,question_type,hypothesis,new_information,effect_phrase,options,author_notes,validator_selected_option
,,,,,,management,referring her for an intensive dietary review with a dietitian specializing in gluten-free diets.,she mentions frequently eating out at restaurants that offer 'gluten-friendly' but not certified gluten-free options.,this plan becomes,"+2, +1, 0, -1, -2","This history strongly suggests ongoing gluten exposure through cross-contamination, the most common cause of non-responsive celiac disease. An intensive dietary review becomes essential. (+2)",2.0
,,,,,,followup,scheduling a repeat upper endoscopy with duodenal biopsies to evaluate for refractory celiac disease.,"after a 6-month period of verified strict adherence with a dietitian, her IgA tTG remains elevated and symptoms persist.",this plan becomes,"+2, +1, 0, -1, -2",Persistent symptoms and elevated serology despite a confirmed gluten-free diet are the key indications for repeat biopsy to rule out refractory celiac disease. This plan is now essential. (+2),2.0
Celiac Disease,american,"A 28-year-old woman, diagnosed with celiac disease two years ago via positive IgA-tTG antibodies and Marsh 3b villous atrophy, returns for follow-up. She reports strict adherence to a gluten-free diet (GFD) after extensive counseling with a registered dietitian. Despite her efforts, she continues to experience intermittent abdominal cramping, bloating, and 2-3 loose stools daily. She has not regained her pre-illness weight and feels persistent fatigue. Her repeat IgA-tTG level, checked last week, remains elevated at 85 U/mL (normal <15 U/mL). She expresses significant frustration, stating she meticulously checks all food labels and avoids cross-contamination at home. Her initial workup at diagnosis was negative for other autoimmune conditions, and her total IgA level was normal. She is otherwise healthy and takes no regular medications besides an iron supplement. The situation presents a classic case of non-responsive celiac disease, requiring further investigation into the cause.","This item explores the differential diagnosis and management of non-responsive celiac disease, emphasizing that persistent gluten exposure is the most common cause, and other etiologies must be considered before diagnosing refractory disease.",british,"This SCT item is clinically sound and aligns with British guidelines. It correctly emphasizes that inadvertent gluten exposure is the most common cause of non-responsive celiac disease, a principle shared with American guidelines. The questions logically follow a stepwise investigation, ruling out common causes (gluten exposure, infection) before considering refractory disease or invasive procedures. The clinical reasoning is appropriate and reflects standard gastroenterology practice.",diagnosis,"a diagnosis of refractory celiac disease, type 1",A detailed 7-day food diary reviewed by a dietitian reveals several instances of unintentional gluten cross-contamination from shared condiments and restaurant meals.,this hypothesis becomes,"+2, +1, 0, -1, -2","Ongoing gluten exposure is the most common cause of non-responsive celiac disease. Identifying this makes a diagnosis of refractory celiac disease, a diagnosis of exclusion, highly unlikely. (-2)",-2.0
,,,,,,management,proceeding with video capsule endoscopy to assess for complications like ulcerative jejunitis,Stool testing reveals a positive result for giardiasis antigen.,this plan becomes,"+2, +1, 0, -1, -2","Giardiasis can cause persistent malabsorptive symptoms mimicking non-responsive celiac disease. The appropriate next step is to treat the infection, making an immediate invasive investigation less appropriate. (-2)",-2.0
,,,,,,followup,scheduling a repeat duodenal biopsy in the next month to assess for histologic non-response,"After another intensive dietary review, her repeat IgA-tTG level decreases by over 50% in three months.",this plan becomes,"+2, +1, 0, -1, -2","A significant serological response suggests improved dietary adherence is working. An invasive repeat biopsy can likely be deferred, making the immediate plan less appropriate. (-1)",-1.0
Celiac Disease,american,"A 32-year-old woman presents with a one-year history of intermittent abdominal bloating, loose stools, and persistent fatigue. Her past medical history is unremarkable, but her older brother has type 1 diabetes. She mentions that for the past three months, she has been consciously avoiding bread and pasta, as she feels it worsens her symptoms. Initial laboratory workup reveals a hemoglobin of 11.2 g/dL (normal 12.0-15.5 g/dL) with a low ferritin of 12 ng/mL (normal 15-150 ng/mL). A celiac serology panel is ordered, showing a tissue transglutaminase (tTG) IgA level of 25 U/mL (upper limit of normal <20 U/mL) and a total serum IgA of 210 mg/dL (normal 70-400 mg/dL). She is anxious about a potential diagnosis of celiac disease and what the next steps should be.","This item explores diagnostic nuances in celiac disease, particularly with a low-positive serology potentially blunted by a low-gluten diet, and highlights key management and follow-up principles related to pre-biopsy diet and complication management.",european,"The item is clinically sound and aligns well with European guidelines. Q1: Positive HLA makes the diagnosis much more likely, necessitating biopsy in an adult. Q2: Proceeding to biopsy while the patient is on a gluten-free diet is contraindicated, a universal principle. Q3: The discovery of osteoporosis, a significant complication, requires specialist management beyond a primary care provider. The reasoning is consistent across American and European guidelines for these core principles.",diagnosis,a definitive diagnosis of celiac disease.,Her HLA typing is positive for the DQ2.5 haplotype.,this hypothesis becomes,"+2, +1, 0, -1, -2","HLA-DQ2 is present in about 95% of patients with celiac disease. In a symptomatic patient with positive serology (even if low), this genetic predisposition makes the diagnosis highly probable, warranting biopsy confirmation. (+2)",2.0
,,,,,,management,proceeding directly to an upper endoscopy with duodenal biopsies.,The patient reports she has been following a strict gluten-free diet for the past three weeks.,this action becomes,"+2, +1, 0, -1, -2",A biopsy performed after a patient has started a gluten-free diet can yield false-negative results as the mucosa heals. A gluten challenge is required before biopsy for an accurate diagnosis. (-2),-2.0
,,,,,,followup,advising annual follow-up with her primary care provider only.,A baseline DEXA scan reveals osteoporosis with a T-score of -2.7 at the lumbar spine.,this plan becomes,"+2, +1, 0, -1, -2","Osteoporosis is a significant complication of celiac disease. This finding necessitates specialist gastroenterology follow-up to ensure optimal dietary adherence, manage malabsorption, and monitor bone health. (-2)",-2.0
Celiac Disease,american,"A 28-year-old female with a 10-year history of type 1 diabetes presents with 18 months of intermittent diarrhea, abdominal bloating, and profound fatigue. She reports an unintentional weight loss of 7 kg over the past year. Initial labs revealed microcytic anemia with a hemoglobin of 10.1 g/dL. Celiac serology was subsequently ordered, showing a tissue transglutaminase (tTG) IgA level of 254 U/mL (normal <15 U/mL) and a positive endomysial antibody (EMA) IgA test. Her total serum IgA is normal. The patient is referred to your gastroenterology clinic to discuss the results. She seems hesitant about invasive procedures, mentioning she read online that a biopsy might not be necessary with such high antibody levels, particularly since her tTG is more than ten times the upper limit of normal. She is seeking guidance on confirming the diagnosis and starting treatment.","This item assesses reasoning in a classic celiac disease presentation. Key challenges include navigating the adult no-biopsy pathway controversy, recognizing common co-existing conditions like lactose intolerance, and adjusting follow-up based on complications like osteoporosis.",british,"The item is clinically sound. The British (BSG) guideline firmly requires biopsy for adults, making a serology-only diagnosis hypothesis unchanged by patient refusal (Q1=0). The new information correctly makes dietitian referral more appropriate due to likely lactose intolerance (Q2) and a 12-month follow-up less appropriate due to osteoporosis needing closer management (Q3). The BSG stance on adult biopsy is a key differentiator from other guidelines.",diagnosis,a definitive diagnosis of celiac disease can be made based on serology alone.,The patient expresses significant anxiety and states she will refuse an upper endoscopy with biopsy.,this hypothesis becomes,"+2, +1, 0, -1, -2","Patient preference influences the diagnostic pathway but does not alter the objective certainty of the diagnosis itself. For adults, biopsy remains the gold standard, so the hypothesis is not strengthened or weakened by this new information. (0)",0.0
,,,,,,management,initiating a strict gluten-free diet and arranging consultation with a registered dietitian.,She mentions that her symptoms of bloating and gas are noticeably worse after consuming milk or ice cream.,this plan becomes,"+2, +1, 0, -1, -2","This suggests secondary lactose intolerance, common in active celiac disease. This finding reinforces the need for expert dietetic counseling to manage both a GFD and a potential lactose restriction, making the initial plan more appropriate. (+1)",1.0
,,,,,,followup,scheduling a follow-up in 12 months with repeat serology to monitor dietary adherence.,"A baseline DEXA scan, ordered due to her risk factors, reveals osteoporosis with a T-score of -2.7 at the lumbar spine.",this plan becomes,"+2, +1, 0, -1, -2",The finding of osteoporosis is a significant complication requiring more intensive management and closer monitoring than a standard annual follow-up. A 12-month interval is now less appropriate as bone health must also be addressed. (-1),-1.0
Celiac Disease,american,"A 38-year-old woman, diagnosed with celiac disease via biopsy (Marsh 3b) and positive tTG-IgA serology five years ago, presents with persistent symptoms. For the past year, despite reporting strict adherence to a gluten-free diet and prior consultation with a dietitian, she experiences intermittent diarrhea, bloating, and fatigue. Her initial symptoms had resolved completely after starting the GFD. Her current tTG-IgA level is 15 U/mL (normal <10 U/mL), which is down from >250 U/mL at diagnosis but has not fully normalized. She denies any intentional gluten intake and is frustrated with her lack of progress. Her weight has been stable. A complete blood count and comprehensive metabolic panel are unremarkable, with normal albumin and hemoglobin levels. She is concerned about what could be wrong and asks about the next steps.","This case focuses on the common clinical challenge of non-responsive celiac disease. It tests the ability to prioritize investigating ongoing gluten exposure, the most frequent cause, over rarer diagnoses like refractory disease or complications.",british,The item is clinically valid and aligns well with British Society of Gastroenterology guidelines. The core principle—that inadvertent gluten ingestion is the most common cause of non-responsive celiac disease—is universal. The questions correctly probe the need to rule out this common cause before escalating to investigations for refractory disease or complications. The logic is sound and consistent across different guideline perspectives.,diagnosis,a diagnosis of refractory celiac disease type I.,A detailed dietary review reveals frequent consumption of 'gluten-free' oats and dining out at restaurants with high cross-contamination risk.,this hypothesis becomes,"+2, +1, 0, -1, -2","Ongoing gluten exposure is the most common cause of persistent symptoms in celiac disease. This new information strongly points to that etiology, making a diagnosis of true refractory disease much less likely. (-2)",-2.0
,,,,,,management,referring her for a video capsule endoscopy to investigate for complications.,"She mentions developing an intensely itchy, blistering rash on her elbows and knees that has not responded to topical steroids.",this plan becomes,"+2, +1, 0, -1, -2","This describes dermatitis herpetiformis, a pathognomonic sign of celiac disease activity due to gluten exposure. The management priority is reinforcing strict dietary adherence, making an investigation for rare complications less appropriate at this time. (-1)",-1.0
,,,,,,followup,repeating the duodenal biopsy now to reassess for villous atrophy.,Her repeat tTG-IgA level after three months of focused dietary education on cross-contamination comes back at 4 U/mL (normal <10 U/mL).,this plan becomes,"+2, +1, 0, -1, -2","The normalization of serology is a strong indicator of successful dietary adherence and probable mucosal healing. An invasive repeat biopsy becomes less appropriate, as continued clinical and serologic monitoring is sufficient for now. (-1)",-2.0
Celiac Disease,american,"A 34-year-old woman was diagnosed with celiac disease one year ago based on a high IgA tissue transglutaminase (tTG) antibody level (>200 U/mL) and duodenal biopsy showing Marsh 3b villous atrophy. She was referred to a dietitian and reports adhering strictly to a gluten-free diet (GFD). Despite this, she continues to experience persistent bloating, intermittent non-bloody diarrhea, and significant fatigue, which has impacted her work. Her weight has remained stable since diagnosis. She feels frustrated and questions the effectiveness of the diet. Her initial workup at diagnosis was negative for other autoimmune conditions, and her total IgA level was normal. She brings a food diary that appears appropriately gluten-free. You are seeing her for a one-year follow-up visit to evaluate her non-responsive symptoms.",This case focuses on the common clinical challenge of non-responsive celiac disease. It tests the ability to look beyond poor dietary adherence and consider co-existing conditions and long-term complications as per guidelines.,british,"This is a high-quality item assessing a common clinical challenge. The British Society of Gastroenterology guideline aligns with the intended reasoning. It correctly highlights considering alternative diagnoses like microscopic colitis when serology normalizes but symptoms persist (Q1, Q2). The guideline's emphasis on assessing bone health, especially with a history of fractures (Q3), makes the intended answer essential. No major divergence from the American guideline approach is noted in this specific context.",diagnosis,an underlying diagnosis of microscopic colitis is contributing to her persistent diarrhea.,a flexible sigmoidoscopy with random biopsies reveals a thickened subepithelial collagen band.,this hypothesis becomes,"+2, +1, 0, -1, -2","This histological finding confirms collagenous colitis, a type of microscopic colitis, which can co-exist with celiac disease and explain persistent symptoms despite a GFD. (+2)",2.0
,,,,,,management,referring her back to the dietitian for an intensive review of hidden gluten sources.,her repeat IgA tTG antibody level has normalized to 12 U/mL (normal <15 U/mL).,this action becomes,"+2, +1, 0, -1, -2","Normalizing tTG levels strongly indicate excellent adherence to the GFD. This makes ongoing gluten exposure an unlikely cause of her symptoms, rendering intensive dietary review less appropriate. (-1)",-1.0
,,,,,,followup,scheduling a DEXA scan to screen for osteoporosis at this visit.,she mentions a history of multiple low-impact fractures as a teenager prior to her diagnosis.,this plan becomes,"+2, +1, 0, -1, -2","Patients with celiac disease are at high risk for osteoporosis. A prior history of fragility fractures significantly increases this risk, making bone density screening essential. (+2)",2.0
Celiac Disease,american,"A 24-year-old woman with a 10-year history of well-controlled type 1 diabetes presents for evaluation of persistent fatigue and microcytic anemia. Her hemoglobin is 10.2 g/dL with an MCV of 75 fL, and ferritin is low at 12 ng/mL. She reports intermittent bloating and loose stools for the past year, which she attributed to stress and her diabetes. She denies overt gastrointestinal bleeding or significant weight loss. Given her T1DM and iron deficiency anemia, you proceed with celiac serology. Her tissue transglutaminase (tTG) IgA level is 55 U/mL (upper limit of normal <20 U/mL), and her total IgA level is normal. An upper endoscopy with duodenal biopsies is performed, showing moderate villous atrophy (Marsh 3b). The patient is anxious about a potential new lifelong diagnosis and its management.","This item focuses on the initial diagnosis, management, and long-term follow-up of a patient with newly diagnosed celiac disease, particularly addressing common comorbidities and the need for comprehensive monitoring beyond serology.",british,"The item is clinically valid. The British Society of Gastroenterology (BSG) guidelines strongly support the reasoning for the management (+2) and follow-up (-2) questions, which emphasize mandatory dietitian referral and active management of complications like osteoporosis. For the diagnosis question, while the biopsy is definitive in adults per BSG, a negative EMA is discordant information that slightly weakens the certainty of a 'definitive' diagnosis, making the hypothesis less likely (-1).",diagnosis,a definitive diagnosis of celiac disease is established.,"The patient's anti-endomysial antibody (EMA) test, run concurrently, comes back negative.",this hypothesis becomes,"+2, +1, 0, -1, -2","Despite the negative EMA, the combination of high-risk comorbidity (T1DM), positive tTG, and confirmatory biopsy (Marsh 3b) still strongly supports celiac disease. The diagnosis is only slightly less certain but remains very likely. (+1)",-1.0
,,,,,,management,initiating a strict gluten-free diet and scheduling a dietitian consultation.,The patient reports a concurrent diagnosis of a severe nut allergy and has a very limited budget for groceries.,this plan becomes,"+2, +1, 0, -1, -2",A gluten-free diet is the only treatment and is non-negotiable. The patient's dietary restrictions and financial constraints make the dietitian consultation even more critical to ensure safe and adequate nutrition. (+2),2.0
,,,,,,followup,planning annual follow-up with only tTG-IgA serology to monitor dietary adherence.,"At diagnosis, her DEXA scan reveals a Z-score of -2.2 at the lumbar spine, consistent with osteoporosis.",this plan becomes,"+2, +1, 0, -1, -2","A plan limited to serology is inadequate given the significant complication of osteoporosis. Follow-up must also include monitoring bone density and managing this comorbidity, making the initial plan inappropriate. (-2)",-2.0
Celiac_Disease,american,"A 34-year-old woman was diagnosed with celiac disease one year ago after presenting with bloating, chronic diarrhea, and iron deficiency anemia. Her initial workup showed a tissue transglutaminase (tTG) IgA level of 185 U/mL (normal <15 U/mL), and a duodenal biopsy confirmed Marsh 3b villous atrophy. She received counseling from a dietitian and reported strict adherence to a gluten-free diet (GFD). For the first six months, her symptoms improved significantly. However, over the past four months, she has experienced a recurrence of daily non-bloody diarrhea, fatigue, and a 5 kg weight loss. Repeat laboratory tests show her hemoglobin is now 10.2 g/dL (previously 11.5 g/dL) and her tTG-IgA remains elevated at 98 U/mL. She expresses significant frustration, insisting she is being extremely careful with her diet and cannot identify any sources of gluten exposure. The patient is otherwise healthy with no other known medical conditions.","This item assesses the evaluation of non-responsive celiac disease. It emphasizes the primacy of investigating dietary non-adherence and cross-contamination before pursuing diagnoses of refractory disease, and highlights nuances in long-term serological monitoring.",european,The item is clinically valid and aligns well with European guidelines. It correctly prioritizes investigating inadvertent gluten exposure as the primary cause of non-responsive celiac disease before considering rarer diagnoses. The questions are logical and test key clinical decision points. There are no significant disagreements between the American and European approaches for this specific clinical scenario.,diagnosis,"persistent symptoms being caused by ongoing, inadvertent gluten exposure.",A detailed dietary history reveals she regularly eats non-certified gluten-free oats and uses the same toaster as her family for gluten-containing bread.,this hypothesis becomes,"+2, +1, 0, -1, -2","This history strongly points to significant cross-contamination and non-compliant gluten sources (oats), making inadvertent exposure the most likely diagnosis. This is the most common cause of non-responsive CD. (+2)",2.0
,,,,,,management,proceeding directly to capsule endoscopy to investigate for refractory disease or lymphoma.,The patient discloses that she has been taking an over-the-counter probiotic supplement daily which contains wheat dextrin as a filler.,this action becomes,"+2, +1, 0, -1, -2",Discovering a clear source of ongoing gluten exposure makes investigating for rare complications like refractory CD premature. The immediate action should be to eliminate the gluten source. (-2),-2.0
,,,,,,followup,continuing to monitor treatment response with annual tTG-IgA serology.,"A repeat total IgA level, which was normal at diagnosis, is now profoundly low at <10 mg/dL (normal 70-400 mg/dL).",this plan becomes,"+2, +1, 0, -1, -2","With acquired IgA deficiency, tTG-IgA is no longer a reliable marker for adherence. Monitoring must switch to IgG-based serology (e.g., IgG-DGP) to accurately assess response. (-2)",-2.0
Non_Responsive_Celiac_Disease,american,"A 24-year-old woman was diagnosed with celiac disease one year ago based on positive IgA tTG antibodies (>10x ULN) and duodenal biopsies showing Marsh 3b villous atrophy. She has a history of type 1 diabetes. She was referred to a dietitian and initiated a strict gluten-free diet (GFD), reporting significant improvement in her bloating, diarrhea, and fatigue within the first three months. However, for the past six months, she has experienced a gradual return of her symptoms, including persistent loose stools, abdominal cramping, and a 5 kg weight loss, despite her insistence that she is meticulously adherent to the GFD. She denies any intentional gluten exposure and is highly knowledgeable about cross-contamination risks. Her most recent follow-up labs show a persistently elevated IgA tTG at 85 U/mL (previously >250, normal <10). Her primary care physician is concerned about non-responsive celiac disease.","This item assesses the workup of non-responsive celiac disease. The key is to first rigorously exclude ongoing gluten exposure, the most common cause, before proceeding to investigate for co-existing conditions or rare complications like refractory disease.",british,"The clinical reasoning in this item is excellent and aligns perfectly with the British Society of Gastroenterology guidelines. The step-wise approach, prioritizing the exclusion of ongoing gluten exposure before investigating for refractory disease, is standard practice. The questions are clear, and the intended answers are well-supported. No significant differences between British and American guidelines were identified for this specific clinical scenario.",diagnosis,a co-existing diagnosis of exocrine pancreatic insufficiency as the cause for her persistent symptoms.,a stool test for fecal elastase-1 comes back at 450 mcg/g (normal >200 mcg/g).,this hypothesis becomes,"+2, +1, 0, -1, -2",A normal fecal elastase-1 level effectively rules out significant exocrine pancreatic insufficiency as the cause of her malabsorptive symptoms. This makes the hypothesis much less likely. (-2),-2.0
,,,,,,management,referring her for an intensive dietary review with a dietitian specializing in gluten-free diets.,she mentions frequently eating out at restaurants that offer 'gluten-friendly' but not certified gluten-free options.,this plan becomes,"+2, +1, 0, -1, -2","This history strongly suggests ongoing gluten exposure through cross-contamination, the most common cause of non-responsive celiac disease. An intensive dietary review becomes essential. (+2)",2.0
,,,,,,followup,scheduling a repeat upper endoscopy with duodenal biopsies to evaluate for refractory celiac disease.,"after a 6-month period of verified strict adherence with a dietitian, her IgA tTG remains elevated and symptoms persist.",this plan becomes,"+2, +1, 0, -1, -2",Persistent symptoms and elevated serology despite a confirmed gluten-free diet are the key indications for repeat biopsy to rule out refractory celiac disease. This plan is now essential. (+2),2.0
Celiac Disease,american,"A 28-year-old woman, diagnosed with celiac disease two years ago via positive IgA-tTG antibodies and Marsh 3b villous atrophy, returns for follow-up. She reports strict adherence to a gluten-free diet (GFD) after extensive counseling with a registered dietitian. Despite her efforts, she continues to experience intermittent abdominal cramping, bloating, and 2-3 loose stools daily. She has not regained her pre-illness weight and feels persistent fatigue. Her repeat IgA-tTG level, checked last week, remains elevated at 85 U/mL (normal <15 U/mL). She expresses significant frustration, stating she meticulously checks all food labels and avoids cross-contamination at home. Her initial workup at diagnosis was negative for other autoimmune conditions, and her total IgA level was normal. She is otherwise healthy and takes no regular medications besides an iron supplement. The situation presents a classic case of non-responsive celiac disease, requiring further investigation into the cause.","This item explores the differential diagnosis and management of non-responsive celiac disease, emphasizing that persistent gluten exposure is the most common cause, and other etiologies must be considered before diagnosing refractory disease.",british,"This SCT item is clinically sound and aligns with British guidelines. It correctly emphasizes that inadvertent gluten exposure is the most common cause of non-responsive celiac disease, a principle shared with American guidelines. The questions logically follow a stepwise investigation, ruling out common causes (gluten exposure, infection) before considering refractory disease or invasive procedures. The clinical reasoning is appropriate and reflects standard gastroenterology practice.",diagnosis,"a diagnosis of refractory celiac disease, type 1",A detailed 7-day food diary reviewed by a dietitian reveals several instances of unintentional gluten cross-contamination from shared condiments and restaurant meals.,this hypothesis becomes,"+2, +1, 0, -1, -2","Ongoing gluten exposure is the most common cause of non-responsive celiac disease. Identifying this makes a diagnosis of refractory celiac disease, a diagnosis of exclusion, highly unlikely. (-2)",-2.0
,,,,,,management,proceeding with video capsule endoscopy to assess for complications like ulcerative jejunitis,Stool testing reveals a positive result for giardiasis antigen.,this plan becomes,"+2, +1, 0, -1, -2","Giardiasis can cause persistent malabsorptive symptoms mimicking non-responsive celiac disease. The appropriate next step is to treat the infection, making an immediate invasive investigation less appropriate. (-2)",-2.0
,,,,,,followup,scheduling a repeat duodenal biopsy in the next month to assess for histologic non-response,"After another intensive dietary review, her repeat IgA-tTG level decreases by over 50% in three months.",this plan becomes,"+2, +1, 0, -1, -2","A significant serological response suggests improved dietary adherence is working. An invasive repeat biopsy can likely be deferred, making the immediate plan less appropriate. (-1)",-1.0
Celiac Disease,american,"A 32-year-old woman presents with a one-year history of intermittent abdominal bloating, loose stools, and persistent fatigue. Her past medical history is unremarkable, but her older brother has type 1 diabetes. She mentions that for the past three months, she has been consciously avoiding bread and pasta, as she feels it worsens her symptoms. Initial laboratory workup reveals a hemoglobin of 11.2 g/dL (normal 12.0-15.5 g/dL) with a low ferritin of 12 ng/mL (normal 15-150 ng/mL). A celiac serology panel is ordered, showing a tissue transglutaminase (tTG) IgA level of 25 U/mL (upper limit of normal <20 U/mL) and a total serum IgA of 210 mg/dL (normal 70-400 mg/dL). She is anxious about a potential diagnosis of celiac disease and what the next steps should be.","This item explores diagnostic nuances in celiac disease, particularly with a low-positive serology potentially blunted by a low-gluten diet, and highlights key management and follow-up principles related to pre-biopsy diet and complication management.",european,"The item is clinically sound and aligns well with European guidelines. Q1: Positive HLA makes the diagnosis much more likely, necessitating biopsy in an adult. Q2: Proceeding to biopsy while the patient is on a gluten-free diet is contraindicated, a universal principle. Q3: The discovery of osteoporosis, a significant complication, requires specialist management beyond a primary care provider. The reasoning is consistent across American and European guidelines for these core principles.",diagnosis,a definitive diagnosis of celiac disease.,Her HLA typing is positive for the DQ2.5 haplotype.,this hypothesis becomes,"+2, +1, 0, -1, -2","HLA-DQ2 is present in about 95% of patients with celiac disease. In a symptomatic patient with positive serology (even if low), this genetic predisposition makes the diagnosis highly probable, warranting biopsy confirmation. (+2)",2.0
,,,,,,management,proceeding directly to an upper endoscopy with duodenal biopsies.,The patient reports she has been following a strict gluten-free diet for the past three weeks.,this action becomes,"+2, +1, 0, -1, -2",A biopsy performed after a patient has started a gluten-free diet can yield false-negative results as the mucosa heals. A gluten challenge is required before biopsy for an accurate diagnosis. (-2),-2.0
,,,,,,followup,advising annual follow-up with her primary care provider only.,A baseline DEXA scan reveals osteoporosis with a T-score of -2.7 at the lumbar spine.,this plan becomes,"+2, +1, 0, -1, -2","Osteoporosis is a significant complication of celiac disease. This finding necessitates specialist gastroenterology follow-up to ensure optimal dietary adherence, manage malabsorption, and monitor bone health. (-2)",-2.0
Celiac Disease,american,"A 28-year-old female with a 10-year history of type 1 diabetes presents with 18 months of intermittent diarrhea, abdominal bloating, and profound fatigue. She reports an unintentional weight loss of 7 kg over the past year. Initial labs revealed microcytic anemia with a hemoglobin of 10.1 g/dL. Celiac serology was subsequently ordered, showing a tissue transglutaminase (tTG) IgA level of 254 U/mL (normal <15 U/mL) and a positive endomysial antibody (EMA) IgA test. Her total serum IgA is normal. The patient is referred to your gastroenterology clinic to discuss the results. She seems hesitant about invasive procedures, mentioning she read online that a biopsy might not be necessary with such high antibody levels, particularly since her tTG is more than ten times the upper limit of normal. She is seeking guidance on confirming the diagnosis and starting treatment.","This item assesses reasoning in a classic celiac disease presentation. Key challenges include navigating the adult no-biopsy pathway controversy, recognizing common co-existing conditions like lactose intolerance, and adjusting follow-up based on complications like osteoporosis.",british,"The item is clinically sound. The British (BSG) guideline firmly requires biopsy for adults, making a serology-only diagnosis hypothesis unchanged by patient refusal (Q1=0). The new information correctly makes dietitian referral more appropriate due to likely lactose intolerance (Q2) and a 12-month follow-up less appropriate due to osteoporosis needing closer management (Q3). The BSG stance on adult biopsy is a key differentiator from other guidelines.",diagnosis,a definitive diagnosis of celiac disease can be made based on serology alone.,The patient expresses significant anxiety and states she will refuse an upper endoscopy with biopsy.,this hypothesis becomes,"+2, +1, 0, -1, -2","Patient preference influences the diagnostic pathway but does not alter the objective certainty of the diagnosis itself. For adults, biopsy remains the gold standard, so the hypothesis is not strengthened or weakened by this new information. (0)",0.0
,,,,,,management,initiating a strict gluten-free diet and arranging consultation with a registered dietitian.,She mentions that her symptoms of bloating and gas are noticeably worse after consuming milk or ice cream.,this plan becomes,"+2, +1, 0, -1, -2","This suggests secondary lactose intolerance, common in active celiac disease. This finding reinforces the need for expert dietetic counseling to manage both a GFD and a potential lactose restriction, making the initial plan more appropriate. (+1)",1.0
,,,,,,followup,scheduling a follow-up in 12 months with repeat serology to monitor dietary adherence.,"A baseline DEXA scan, ordered due to her risk factors, reveals osteoporosis with a T-score of -2.7 at the lumbar spine.",this plan becomes,"+2, +1, 0, -1, -2",The finding of osteoporosis is a significant complication requiring more intensive management and closer monitoring than a standard annual follow-up. A 12-month interval is now less appropriate as bone health must also be addressed. (-1),-1.0
Celiac Disease,american,"A 38-year-old woman, diagnosed with celiac disease via biopsy (Marsh 3b) and positive tTG-IgA serology five years ago, presents with persistent symptoms. For the past year, despite reporting strict adherence to a gluten-free diet and prior consultation with a dietitian, she experiences intermittent diarrhea, bloating, and fatigue. Her initial symptoms had resolved completely after starting the GFD. Her current tTG-IgA level is 15 U/mL (normal <10 U/mL), which is down from >250 U/mL at diagnosis but has not fully normalized. She denies any intentional gluten intake and is frustrated with her lack of progress. Her weight has been stable. A complete blood count and comprehensive metabolic panel are unremarkable, with normal albumin and hemoglobin levels. She is concerned about what could be wrong and asks about the next steps.","This case focuses on the common clinical challenge of non-responsive celiac disease. It tests the ability to prioritize investigating ongoing gluten exposure, the most frequent cause, over rarer diagnoses like refractory disease or complications.",british,The item is clinically valid and aligns well with British Society of Gastroenterology guidelines. The core principle—that inadvertent gluten ingestion is the most common cause of non-responsive celiac disease—is universal. The questions correctly probe the need to rule out this common cause before escalating to investigations for refractory disease or complications. The logic is sound and consistent across different guideline perspectives.,diagnosis,a diagnosis of refractory celiac disease type I.,A detailed dietary review reveals frequent consumption of 'gluten-free' oats and dining out at restaurants with high cross-contamination risk.,this hypothesis becomes,"+2, +1, 0, -1, -2","Ongoing gluten exposure is the most common cause of persistent symptoms in celiac disease. This new information strongly points to that etiology, making a diagnosis of true refractory disease much less likely. (-2)",-2.0
,,,,,,management,referring her for a video capsule endoscopy to investigate for complications.,"She mentions developing an intensely itchy, blistering rash on her elbows and knees that has not responded to topical steroids.",this plan becomes,"+2, +1, 0, -1, -2","This describes dermatitis herpetiformis, a pathognomonic sign of celiac disease activity due to gluten exposure. The management priority is reinforcing strict dietary adherence, making an investigation for rare complications less appropriate at this time. (-1)",-1.0
,,,,,,followup,repeating the duodenal biopsy now to reassess for villous atrophy.,Her repeat tTG-IgA level after three months of focused dietary education on cross-contamination comes back at 4 U/mL (normal <10 U/mL).,this plan becomes,"+2, +1, 0, -1, -2","The normalization of serology is a strong indicator of successful dietary adherence and probable mucosal healing. An invasive repeat biopsy becomes less appropriate, as continued clinical and serologic monitoring is sufficient for now. (-1)",-2.0
